,Activity
6736,1
5618,1
5258,2
1495,5
2695,2
2027,3
5248,2
5463,2
2568,5
64,6
3884,6
2062,5
5276,5
7208,4
492,2
379,4
6331,6
4859,2
6360,6
3993,5
4887,5
1076,6
878,4
337,3
6863,4
6439,2
1016,5
1275,3
3798,5
4551,5
3342,6
4911,5
6413,2
995,5
1981,1
4297,6
161,2
5675,5
6873,6
6545,6
4798,1
1500,5
3843,4
5225,3
2613,6
3461,5
1021,4
3073,5
3943,2
1585,3
1955,6
3152,6
6349,6
34,4
4014,4
775,1
2556,5
1478,5
7099,3
5486,5
6235,2
1363,4
7041,6
2612,6
2824,1
2041,2
241,6
2061,5
2363,2
600,6
2435,4
5393,1
6310,4
2888,5
6164,6
646,3
3890,6
3556,1
3202,3
1528,6
6975,5
1267,3
1899,2
4658,3
3005,3
2734,4
7101,3
189,5
1806,4
975,2
2747,4
2047,2
2558,5
1082,1
474,3
2904,5
4843,2
6396,1
4117,1
3385,3
4555,5
1184,4
6420,3
5051,2
5311,4
2433,4
6949,2
5611,1
2391,5
769,1
1685,6
130,3
2919,4
3171,1
3444,5
6231,2
5578,6
4426,4
5334,4
466,3
6265,5
5734,4
3092,4
3772,2
5191,1
5226,3
5390,1
860,5
7270,1
